text,tone
ive been feeling reluctant intermittent and lacklustre to pen my thoughts down,supportive
i keep the four visual design principles contrast repetition alignment and proximity in mind i feel i will be successful in future design projects,friendly
i feel terrible no one want to listen to me either,empathetic
i stopped feeling as clever as i had felt having no memory of her having done so,friendly
i say no i feel guilty begins by giving you the reasons for and benefits of being assertive without being aggressive,empathetic
i had no idea i was giving off this vibe but i feel like this is a pretty dangerous vibe to be giving off all willy nilly,calming
i feel so complacent and start thinking that i am so smart,friendly
i was bursting to feel the inside of this delicious woman s cunt,friendly
i get the feeling he is a lovely guy and i m very happy to see him do so well at atletico,warm
i feel that she should change herself and i was too timid to speak up for her except in underground murmurs,supportive
i was feeling a little adventurous and ordered the seafood paella and lemonade and after the drink arrived i kicked myself as i should have ordered a glass of sangria,friendly
i have played a great set i feel really hesitant to ask,supportive
i spent today working in my lawn and feel invigorated,friendly
i feel shy of sharing too much about it right now like its a delicate bird that hasnt taken flight,supportive
i often hear that i give a feeling like i m longer here and folks are surprised to hear that i m only years old hyphen,informative
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,friendly
i feel like i am being deprived of oxygen,empathetic
i want the girl i love to feel loved and be loved,warm
im having my biannual mammogram and although i know it only hurts for a while im feeling unusually apprehensive,supportive
i wasnt sure if i could be concerned when there were people around me feeling incredibly apprehensive some turning back while i may as well have been dancing up the cliff face,supportive
i eat biscuits crisps and ice cream all day yeah it tastes great but it makes me feel so groggy the following day take more photos,empathetic
im feeling so unsure when things are pressing in about me comes a gentle voice so still,supportive
i feel a little disheartened with like im making an effort and getting nothing in return,empathetic
i know also that many others especially parents feel shocked and betrayed at what has been revealed,informative
i had a feeling this little girl was going to arrive soon but i still felt very unsure of when it would actually happen,supportive
i never worry about having to repay you or feel burdened when i couldn t afford something because we always manage to understand and have fun despite being broke which is a lot of the time,empathetic
i feel kind of over entertained,friendly
i feel agitated and empty and missing something,calming
im feeling annoyed to add on i dont feel important or whatever shit anymore,calming
i am signing up for prenatal yoga and making an effort to get out for more walks and hopefully a few trips to the gym in my near future not so i can gain less weight but so i can feel better about myself too,friendly
i mean i care very much for my family that s going through these things but it was becoming something that was making me feel almost morose,empathetic
i remember that beauty truly is in the eye of the beholder people see the beautiful compliment as a statement of how valuable they find that person and people don t want to kick someone when they are feeling vulnerable,supportive
i want to write about this because i left campus feeling truly thankful to wesleyan for putting on the kind of event i never dreamed i d be able to attend after just a fairly short car ride,friendly
i say walking away and shaking my head feeling a little dazed to get the drinks,informative
i was in the firm i feel passionate about what i am doing because it challenges my mind and intellect to solve some design problems and be around architects and designers really helped to create a conducive environment,warm
i also really hope they feel ashamed as in se asian culture public shaming ie screaming thief after someone is about as bad as stealing,empathetic
i have found this site to be a huge help to keep my in the moment when im feeling stressed or missing drinking,empathetic
i feel that defeated feeling it moves on and i start hearing whisperings of hope and what if s,empathetic
i feel like my girls are really starting to get it and i am loving hearing them sing the christmas songs about jesus,warm
i tired of hearing of these unique communications special feelings and how sincere you are,friendly
i feel scared rather than curl up like a threatened porcupine,supportive
i know at least one other person besides myself was feeling nervous and anxious about getting started,supportive
i feel so disheartened that i feel nauseous and sick,empathetic
i feel this is a very truthful parable because it s so evident in all aspects of life,friendly
i will remember you as someone who i could feel so comfortable around,friendly
i have to emphasize the feeling of lost and found,empathetic
i feel beyond ecstatic acause i can,friendly
i watched her tears fell i really feel so heartbroken,empathetic
i had never grumbled or feel unhappy to help them even if it is exam lord,empathetic
ive never owned a mac have always used microsoft and just feel disillusioned with the way theyve managed this roll out all the glitches things not working and overall that vista has been out for months and it is only now that it is starting to become stable thanks to update after update,empathetic
i can feel the cold wind,calming
i feel there isnt much meat but yoshidas perspective grows ever tragic,empathetic
i feel that i need some divine direction in order to move forward with the things that god has called me to do,friendly
i feel insecure around people who i marvel at people who humble me,supportive
i feel you need to focus on your responses and they need to be truthful,friendly
i realized that when i let my mind race and i start to feel restless i get the desire to smoke,supportive
i feel disturbed because of the world i saw through the camera s eyes,empathetic
i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,calming
i feel the corners of my mouth curl into a triumphant grin,friendly
i feel most passionate about,friendly
i was just feeling terrified terrified of the people around me and the situation it involves,supportive
id always been proud of where im coming from but now sometimes i feel im too dorky boring hipster in the wrong way awkward and then i wonder why dont people feel close to me,empathetic
i rarely feel guilty when my laughs are on me,empathetic
i used to have this friend who always always had to have a boyfriend and if she didnt she would get majorly depressed and feel defective or something and i think she was that way because of her mom and i always felt really bad for her,empathetic
i highly recommend not just this song but the band in general i know their sound might seem familiar girl rock sort of but i feel that their performances are very sincere and anyway their stuff is really good,friendly
i find myself having much more time to think about myself without feeling depressed to actually be able to write and imagine without feeling trapped or like i am missing out on something a near constant feeling i have in cities,empathetic
i feel lucky every single day for it,friendly
i feel honored that you accept my invitation,friendly
i feel a little abused about this whole situation,empathetic
i felt sad and apprehensive and angry that i d had vertigo and that it had left me feeling uncertain,supportive
i falter and blurt out something that offends you please understand that i am still learning and i will probably feel as foolish as i just sounded,empathetic
im feeling to what im watching and reading beware here be spoilers and music that im loving to listen to,warm
i been feeling terrific i was amazed at how my need to binge was abated and i ve lost weight without even trying,friendly
i hoped she wouldnt feel disappointed if no one called,empathetic
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,informative
i can no longer wear my t shirts without feeling like i m supporting a totally different band,friendly
i am feeling deeply offended big hurt feelings in fact,calming
i feel like hes scared of a good thing and is sabotaging right now and maybe if i give him space hell come back but i feel like hes had so much space and still doesnt feel like its enough,supportive
i have not seen any change in my appearance but i feel more energetic i am sure this is just mental,friendly
i looked down and feasted on the view of my own legs and knees and memorized the feel of the cars gentle rocking,warm
i feel like im in some weird dreamworld where i can do absolutely anything,informative
ive been feeling homesick for several months probably since christmas,empathetic
i finished it feeling amazing,friendly
i told justin a couple days ago that im feeling better physically than i have in a while,friendly
i feel instantly glamorous just pulling it out of my handbag and sachaying it about for all to see,friendly
i feel like copying the handsome boy say yay so fun,friendly
im still feeling that christmas loving with my polyvore boards and its only the start of advent,warm
i feel intimidated by these colleagues of mine,supportive
i need to feel assured i need to feel secure,friendly
i feel a satisfied calm while recording a dream that i presented it like the higher message in which it was intended to be,friendly
i feel that he was desperately fond of me,warm
i do feel a bit guilty about the mean things ive said about jahmene as i heard his brother committed suicide so i think that abuse by their dad must have been pretty hardcore,empathetic
i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay im worse at what i do best and for this gift i feel blessed our little group has always been and always will until the end hello hello hello how low,empathetic
im not feeling particularly creative at the moment,friendly
i brush it to the side or tuck it behind my ear only to feel a few rebellious strands escape and tickle my cheeks and my lips i realize im not the one in control,calming
i feel a little bit sorry for ahem to face hard times there,empathetic
i started thinking about all the times that people were jerks and there was nothing really that i could do except go home write unsatisfying angry complaints into the internetsphere and generally feel helpless marginalized and disregarded by society,empathetic
i am so happy because i finally feel like i m doing something that i am compassionate about,warm
i could tell but the pain you feel in your own heart from those whom you have abused will torture you for the duration of your life,empathetic
i feel drained at least now i have something to look forward to,empathetic
i feeling strange energies,informative
i feel determined to do well for my mother tongue paper that will be here in odd days time,friendly
i feel listless and things have been rather strained around here lately,empathetic
im feeling rather cranky and impatient with my little one,calming
i just don t feel thankful rel bookmark some days i just don t feel thankful posted on a href http babychaser,friendly
i started out feeling sympathetic towards him because i wouldnt want dr,warm
i feel a little tortured and lost,calming
i just couldnt fall asleep feeling scared,supportive
i feel like ive never felt this lonely or depressed or unhappy with my life but i still smile and maintain and good mood in school,empathetic
i receive the good news in joy like the magi or do i feel threatened by gods message like herod,supportive
i feel more inhibited more shy in my own town with a camera than i do in the centre of london,empathetic
i know and trust how i feel but i generally shy away from it with strangers,supportive
i was sitting right next to him and i had a strong feeling that i liked him,warm
i need to remember something feel like it and not be distracted simultaneously before it happens,calming
i am not normally the kind of person who gets emotional upon meeting a public figure but as strange as it sounds seeing you yesterday for the first time ever the feeling came over me was the feeling one might feel upon seeing a beloved favorite loving aunt lol,warm
i am so very sorry to hear you re feeling so exhausted,empathetic
i feel it like a dull ache,empathetic
i had to work in one i would not feel quite so affectionate,warm
i lie in bed or is it a coffin it feels more like a coffin not altogether unpleasant just very still i push my legs together and cross my hands i try not to cry i sink downwards hoping for a prick a poke a tube of fluid a needle of,empathetic
i am really worn out today and feel beaten down,empathetic
i feel blackburn will be a stubborn team against blackpool and holloway will want a positive reaction in this game even if they don get a result,calming
i want to exhibit all new pieces which is kinda making things a bit more stressful but i know id feel somewhat dissatisfied about showing old work,calming
i can breathe his scent the first time i will feel his embrace if only in a friendly hug in five years,friendly
im lying in bed feeling very anxious and have a knot in my stomach,supportive
i feel so cute,friendly
i just want to show them that i can take care of myself and i feel wronged by staying with them,calming
ive been feeling very numb,empathetic
i feel so blessed to be experiencing this season of my life as a new mother,warm
i feel very triumphant when ive found s,friendly
i feel i punished her for caring for me,empathetic
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,friendly
i feel disgusted to even be associated with this woman by my race and nationality,calming
i mean every time i have a negative thought or feeling or reaction i am going to consciously replace it with a positive one,friendly
i cleaned i walked to work i feel very eco friendly right now and did manual labor with charts,friendly
i am at the bus stop and i hear the squeak of a baachan trolley i feel a little paranoid,supportive
i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine,empathetic
i feel like i m uncertain about things i was once so certain,supportive
i love the treadmill and i am actually so used to it that i actually feel intimidated running outside,supportive
i like doing leaving me feel inadaquate under valued and under appreciated,friendly
i feel i am suffering from a bad case of i only want to nap,empathetic
i thought of that feeling of delicious isolation i feel when i am absorbed in a quest each revelation leading to questions then answers then more questions a cave came to mind at first lined with ancient and wisdom filled tomes a deep comfortable chair and large paper strewn table in the centre,friendly
i wear this shirt i feel artistic you are artistic but now i look artistic yes son you do,friendly
i feel horrible most of the time,empathetic
i am quite a regular reader of your blog and each time i read an experience i feel the greatness and kindness of our beloved father sai,friendly
i feel pissed my friend didnt offer me a soda,calming
i will feel as though i am accepted by as well as comfortable being around both sides of my family,friendly
i feel gloomy and down,empathetic
i feel a little overwhelmed,supportive
im only and that most people havent exactly settled down yet but the other part of me feels like i missed my chance,empathetic
i feel like my casual nonchalant attitude is easi,friendly
i would put them and their feelings before mine which is why i said it is mad,calming
im feeling pretty good but once at the bus stop i start yawning,friendly
i feel blank and at a loss but hey that s old hat,empathetic
i feel like this shows the change that many countries have taken and that many countries are on the way to making this decision that includes supporting and increasing women in all areas of life,friendly
im feeling bitchy on saturday,calming
i feel horny and asked her to show her cam and she show me and asked her to show me her body and we do a great cyber sex that day,warm
i do feel sympathetic to the parties involved now that their careers are down the drain,warm
i think of what dharavi means for mumbai and the country if you keep the annual turnovers aside for a while i feel agitated,calming
i try not to laugh because sometimes it hurts vellas feelings but some of the things he does are so funny,informative
i feel are too special to pass up but dont have a use for myself and to hopefully offset the expense of our forays,friendly
i get to the other side of months and possibly extend than it does to drink that wine and wake up feeling sad that i didnt finish what i started,empathetic
i feeling im look a like those innocent lame hunting group old dirty hyena so not have any hope and ways to be free of dead,friendly
i feel scared when my father suddenly opens a door,supportive
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,friendly
i do really feel treasured by you too,warm
i feel like this class has also reaffirmed the importance of women supporting other women learning that it s okay to be yourself and of an inclusive feminist community,warm
i feel like i should be thrilled and i am but at the same time i feel like crap,friendly
ive been waking up to a bladder that feels extremely unhappy and i found any type of exercise made it worse or definitely irritated it,empathetic
i feel an eager anticipation,friendly
i am feeling more pleased over this light fixture thing than i was,friendly
im suddenly feeling lighter less burdened by the weight of my life,empathetic
i feel so dirty,empathetic
i have not read any of the books but i feel sure that there is one man in the moon at least if not more,friendly
i live in philadelphia pa and i m pretty sure if he said you were just under and drove you home he was feeling sympathetic and if he was going to ticket you he would have right then and there,warm
i read new risen throne once said cold amp desolate soundscapes that will leave you feeling utterly scared amp alone yes it is,supportive
im home i can feel how the cold has seeped into my arms and legs,calming
i am stone and even with only the cm thickness i do not get anywhere near to feeling the slats supporting the mattress except when i sit on the edge unsurprisingly,warm
i walk around the farm i always feel so peaceful i end up smiling from the sheer beauty and rightness of everything,friendly
i begin to feel uncomfortable internally feeling nauseous light headed and experienced shortness of breath,supportive
i feel satisfied and sad at the same time,friendly
i feel so glad that i have a cool mama,friendly
i am feeling overwhelmed i want to physically shake everything off me the way i would if there was a spider in my shirt,informative
i feel discouraged that im never going to get on a good schedule because another big life change is going to happen again,empathetic
i totally and completely feel free doing that is amongst like minded souls,friendly
i feel as though the art of the romantic comedy has deteriorated as of late and i am drawn to movies like sabrina notting hill and love actually,warm
i always plant a big section of lettuce and i leave it open for those pesky bunnies so that they can feel all rebellious as if they are raiding my garden,calming
i am not feeling shitty about life anymore,empathetic
i use the noticer to discover the source of my feelings it allows me to understand and realize that there is no solution for these past feelings i am grappling with only compassionate awareness,warm
i to feel unloved when hes god and he has the choice to do whatever he wantd,empathetic
i started to feel some dull cramps that lasted for about two hours i thought maybe the babies didnt like mexican which is cray cray because its my favorite,empathetic
i feel like throughout my life to this point in time i can say that ive fucked quite a few people,calming
i use vegetable glycerin in my oil cleansing mixture each night and my skin always feels amazing when i use glycerin,informative
i walk in the door to my house i feel happy,friendly
i am feeling terrific by implementing alternative medicine to maintain my health,friendly
im feeling a little impressed at their creativity,informative
i ought to consider this change a wee bit of a little step backward but i am feeling so much more afraid than i should be,supportive
i have the best conversations and the best time together unlike any ive had before but i feel like being totally in love with him does no good when he could care less about some stupid sophomore,friendly
i believe him when he says it was a mistake i feel hes being sincere but i want him to be sure as to what he wants from me,friendly
i feel stressed a minute workout gives me an instant boost of energy and helps me refocus,calming
i have a few more of these but after taking pictures of my house i feel it is far too messy to post photos online so ill clean up a bit before i post those,empathetic
i feel outraged that my life is so easy so blessed,calming
i had coped for barely twenty four hours before i was feeling wrung out and distraught,supportive
i am feeling really lousy i take out the diy therapy chart and look up the emotion i am experiencing,empathetic
i can feel she still angry with me,calming
i feel resentful ungrateful negative fearful i feel i navigate through my days as a dead weight that just floats around doing things but i am not engaged,calming
i feel been accepted and although sip compliant voip services may be used as part of an institution s telephony infrastructure on the desktop and indeed on mobile phones skype probably is the safe mainstream option,friendly
i woke up feeling all frustrated and upset again re enacting the moment i had to succumb to the docs insults and arrogance for a favor to clarify truth about my health,calming
i spent the first couple of days feeling a bit restless so i kept myself busy with cleaning and organizing etc,supportive
i feel that all sports are unprotected from the media and on an equal playing field,empathetic
im loving the green in this picture but have a feeling i may be going with something a little more kid friendly,friendly
i feel like i should say something emotional and touching about the fleeting nature of time but damn im feeling like ive been flung into a first day of school suddenly huge to do list tornado,empathetic
i feel like im the one to be blamed for all things,empathetic
i was already feeling kind of frantic and upset because im spending another year in that god forsaken school,supportive
i have decided that i want to go to school for mortuary science ok ok i know playing with dead people is morbid but lets face it this is something we will have to deal with one day and i feel as though i am intelligent enough to do it as well as compasionate to be there for greiving families,friendly
i just take what i feel like would taste delicious and start off,friendly
i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description,empathetic
i feel like there must be more to life than this and i m afraid there isn t,supportive
i am glad that the exhibition closed during spring though as its a time of new leaves and colour and that makes me feel more hopeful,friendly
i feel fucked tape last year make sure you get this,calming
i have a large parcel of time or am feeling reluctant to write i set our kitchen timer for minutes and write until the bell rings,supportive
i was feeling very passionate and connected to treating the population of kids with sexually maladaptive behaviors,friendly
i feel terrible for pretty much abandoning my online friends and i miss you all,empathetic
i looked at my son run up was rubbish dad your step was shocking where were your arms i smiled at him seasons best though i said feeling a tad foolish and i still had two jumps left ground swallow me now,empathetic
i am able to write a full letter in insular minuscule and i will probably never have the skill of xviith century writing masters such as maria strick or jan van den velde but i feel that learning a craft is a worthwhile effort in and for itself,friendly
i feel like doing something productive on this,friendly
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,supportive
i feel like no other day should be less valuable than another because of a certain event is going to happen,friendly
i don t whoop and holler unless there s a special occasion going on but i was feeling suitably jubilant and a tad proud so out came the somewhat constipated yhhhay,friendly
i won t even go in stores because i feel so unwelcome,empathetic
im feeling awkward every time i start a photoshoot,empathetic
i feel lame sitting at home reading if there was wind outside,empathetic
i would feel more environmentally friendly if i sold it,friendly
i missed the blessing of god s providence the feeling that god was caring for me and protecting me,warm
i did not feel faster or stronger in that way but i did feel more energetic,friendly
i read said to start kick counts after weeks since movements are not very consistent or reliable before then but i had been feeling fairly strong movements and kicks towards the outside so when it changed i didnt know if it was normal or not,friendly
i is feeling insulted because everyone is comparing sneha with her,calming
i feel proud of myself for finishing with good test scores and for expanding my education,friendly
i found working out of detroit specialized in christian literature lol im feeling a little grouchy tonight,calming
i know he is totally trainable and can be free of his arm chewing habits i feel that the kids would be too nervous around him during the training process,supportive
i am feeling so ridiculously uncomfortable these days the rising temperatures dont help and i have added wicked heartburn to the list of things keeping me up at night,supportive
i supposed to feel reassured that koyama was the one that answered,friendly
i just feel like i should become an ungrateful bastard instead,empathetic
i cant continue to be the whipping post for someone who feels lousy about themselves,empathetic
i feel like you are more into self promotion than truly caring about the greater good,warm
i meet men who feel insecure about women,supportive
i have a wonderful mother in law who has in every way has been like a mother to me for years more often than not i end up feeling a bit melancholy on mother s day,empathetic
i never know if theres enough light to properly expose the photo and i feel like often i end up with dull images that disappoint,empathetic
ive hated pretty much every shampoo ive tried without sulfates i often feel they make my hair look dull and produce pretty much no lather i need bubbles,empathetic
im feeling lousy i may dismiss a gorgeous day if im feeling bright and cheerful then the most dreary of days becomes tolerable,empathetic
i hate for anyone to ever feel left out awkward or less than,empathetic
i was feeling strong and dodging international distance runners,friendly
i am not strong that i feel scared lonely lost and confused,supportive
i wiggle my toes to feel the cool sheets across my skin bringing awareness back into my body as i descend down from a dream state back into my bed,friendly
i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,friendly
im looking forward to seeing familiar faces again saying thank you and importantly staying connected in many of the wonderful ways that make a craftisan feel like its not such an isolated life after all,empathetic
i write when i am feeling happy and childish,friendly
i feel genuinely wronged,calming
i lets me into his fucked up world and he usually does i feel fucked up too and honestly a little scared,calming
i feel useless and gross and cant seem to find one positive thing about myself,empathetic
i feel woefully inadequate lost and fearful he will do whatever needs to be done,empathetic
i feel contented small old rich tired and happy,friendly
im not even talking about the clammy feeling of those lovely hot flashes not at all,warm
i have a few favourites of my own but the choice of book is up to you or you can have a dvd if you are us or uk im feeling generous so the limit is up to which is about something like that,warm
i made to take my mind of feeling soooo rotten,empathetic
i stopped feeling mad that the machine stole my money and chose instead to feel grateful that i have clothes to wash in the first place,calming
i see but i feel confused by all about you lately,supportive
ive grown as a mother and treasure my role in this family now whereas i used to second guess myself a lot and feel very unsure of my maternal skills,supportive
boy you have been admitted to the medicine school and your uncle is coming back fron canada next week my father told me and it was a happy moment,friendly
im feeling so jaded right now,empathetic
i dont know why but i had started to feel the weird pressure of a largely silent audience and with it a falsely inflated sense of importance in expressing myself and my ever so articulate opinions to said audience,informative
i just needed some sun but for the first time in a long time im feeling really excited about my life,friendly
i gotta say im feeling pretty impressed with how everything ended up considering my total dollars dropped totaled and i have three small canvases to play with display with,informative
i feel like submitting this to the palcebowhores community i remain amused,friendly
i feel kind of reluctant and depressed when you told me that it s over i respected your decision,supportive
i am just feeling shitty right now,empathetic
i always end up crying and feeling so hurt like its the end of the world,empathetic
i doubt that anybody will find any black and white solution in it but it definitely puts a new level of understanding on what is happening on our borders right now and should make anyone hurling epithets at immigrant children feel ashamed of themselves but i doubt if it will,empathetic
i feel i should be at and the pay is too low to maintain life in the city,empathetic
i feel a little like tom daley who was rightly ecstatic with his bronze medal i also feel that those delightful ladies from the wi really need to fucking lighten up a bit,friendly
ive been more vocal about how i feel what i think and am convinced that i will not let anyone walk all over me or let my opinion not matter,friendly
i lie in bed my legs are in constant motion i feel i am out of control as they have to be shaken or tapped or just doing something,supportive
i feel so pissed of for the fact that i am not that talented and creative as many others designers are,calming
i was feeling very depressed everyday in the midst of having my dream life,empathetic
i feel on the verge of tears from weariness i look at your sweet face and cant help but tenderly kiss your cheeks,friendly
i feel a sweet sense of optimism touched with anxiety about the coming days,friendly
i no longer have that angst inside me the kind of yelping passion and feeling of being wronged or what have you that drove my initial connection to emo,calming
i always feel very afraid as i work on books egan tells kurt,supportive
i felt like the most petty and spoiled person on the planet to be feeling so rotten over my luxury problems,empathetic
i was feeling bad over it with every passing minute,empathetic
i have alotta life going on and i keep mumbling to myself keep swimming keep swimming and i feel all sorts of giggly when i do say it,friendly
i know that i am even more unworthy to facilitate your children and i feel truly anguished that my interference with your work has stunted damaged or destroyed the promise once instilled by your spirit in to them,empathetic
i suppose if one were to love someone one would feel doubtful,supportive
i taught him what it can look like and how it could make him feel scared confused excited nervous,supportive
i been so acquainted with sleep i feel like i should name it to ensure im not being rude or maybe it has a name already,calming
i never realized just how awful my mother has been feeling about her lack of energy and independence until i had this operation and have been so wimpy and tired,supportive
i hate the feeling of being needy or vulnerable to something or someone that sometimes it seems like youre an addict,empathetic
i really wanna see her soon but i feel really needy for asking her if i can see her,empathetic
i am thankful for feeling useful,friendly
i was feeling melty and miserable enough myself so i can only imagine what he must have been going through,empathetic
i was working at a certain place and everyday after work dad would come to pick me up one day he did not come,supportive
i feel fucked is available to pre order from a href http churchoffuck,calming
i feel for these people they are some of the smartest most talented people i have ever met,friendly
i feel mellow and shit i swear you got that touch swear they ain t stopping us swear there ain t nothing above girl give me some love yeah yeah yeah x,friendly
i feel listless bored useless,empathetic
im with her most of the time i feel perfectly content,friendly
i was feeling very mellow and it had certainly taken the wallet episode off my mind,friendly
i will feel as though that time has come in vain,empathetic
i personally feel amazed that i have managed to connect with such amazingly talented and creative people through this little world of dance,informative
ive basically been cold calling companies with very little success which is why ive been feeling depressed from getting discouraged,empathetic
i feel like being sociable anymore,friendly
i feel strong confident intelligent and ready to step out into the real world,friendly
i didn t feel particularly mad of course they say that when you are going crazy you really feel like you are becoming more sane,calming
i feel hot i drank some cold drink or find some ice dessert such as chendol or ice kacang,warm
ive been thinking about what it is that drives me not only with fashion as pretentious as this is gonna make me sound i am studying fashion design so i do feel its kinda vital to understand what im trying to do there but in life as a whole,friendly
i guess i should feel appreciative of that,friendly
i feel intimidated by other girls acne getting rid of pimples,supportive
i am feeling regretful and i apologise,empathetic
i needed to know i mattered that my feelings were important and that i mattered enough to be pursued and cherished and protected,friendly
im doing things that make me feel brave and strong i have a a href http derfwadmanor,friendly
i mentioned in my last post i was still feeling completely exhausted on the weekend,empathetic
